here are my supabase tables:

"table_name","column_name","data_type","is_nullable","column_default"
"fidium_manager_payscale_plan_commissions","manager_commission_type","text","NO",""
"fidium_manager_payscale_plan_commissions","manager_commission_value","numeric","NO",""
"fidium_manager_payscale_plan_commissions","created_at","timestamp with time zone","NO","now()"
"fidium_manager_payscales","id","uuid","NO","gen_random_uuid()"
"fidium_manager_payscales","name","text","NO",""
"fidium_manager_payscales","created_at","timestamp with time zone","NO","now()"
"fidium_personal_payscale_date_range_plan_commissions","id","uuid","NO","gen_random_uuid()"
"fidium_personal_payscale_date_range_plan_commissions","fidium_personal_payscale_date_range_id","uuid","NO",""
"fidium_personal_payscale_date_range_plan_commissions","fidium_plan_id","uuid","NO",""
"fidium_personal_payscale_date_range_plan_commissions","rep_commission_type","text","NO","'fixed_amount'::text"
"fidium_personal_payscale_date_range_plan_commissions","rep_commission_value","numeric","NO","0"
"fidium_personal_payscale_date_range_plan_commissions","created_at","timestamp with time zone","NO","now()"
"fidium_personal_payscale_date_ranges","id","uuid","NO","gen_random_uuid()"
"fidium_personal_payscale_date_ranges","fidium_personal_payscale_id","uuid","NO",""
"fidium_personal_payscale_date_ranges","start_date","date","NO",""
"fidium_personal_payscale_date_ranges","end_date","date","YES",""
"fidium_personal_payscale_date_ranges","created_at","timestamp with time zone","NO","now()"
"fidium_personal_payscale_plan_commissions","id","uuid","NO","gen_random_uuid()"
"fidium_personal_payscale_plan_commissions","fidium_personal_payscale_id","uuid","NO",""
"fidium_personal_payscale_plan_commissions","fidium_plan_id","uuid","NO",""
"fidium_personal_payscale_plan_commissions","rep_commission_type","text","NO",""
"fidium_personal_payscale_plan_commissions","rep_commission_value","numeric","NO",""
"fidium_personal_payscale_plan_commissions","created_at","timestamp with time zone","NO","now()"
"fidium_personal_payscales","id","uuid","NO","gen_random_uuid()"
"fidium_personal_payscales","name","text","NO",""
"fidium_personal_payscales","upfront_percentage","numeric","NO",""
"fidium_personal_payscales","backend_percentage","numeric","NO",""
"fidium_personal_payscales","created_at","timestamp with time zone","NO","now()"
"fidium_plans","id","uuid","NO","gen_random_uuid()"
"fidium_plans","name","text","NO",""
"fidium_plans","commission_amount","numeric","YES",""
"fidium_plans","created_at","timestamp with time zone","NO","now()"
"fidium_salesmen","id","bigint","NO",""
"fidium_salesmen","rep_name","text","NO",""
"fidium_white_glove_entries","id","bigint","NO","nextval('fidium_white_glove_entries_id_seq'::regclass)"
"fidium_white_glove_entries","sales_partner","text","YES",""
"fidium_white_glove_entries","dsi_dealer_type","text","YES",""
"fidium_white_glove_entries","sale_format","text","YES",""
"fidium_white_glove_entries","sales_rep","text","YES",""
"fidium_white_glove_entries","submission_date","date","YES",""
"fidium_white_glove_entries","customer_name","text","YES",""
"fidium_white_glove_entries","service_address","text","YES",""
"fidium_white_glove_entries","city","text","YES",""
"fidium_white_glove_entries","state","text","YES",""
"fidium_white_glove_entries","zip","text","YES",""
"fidium_white_glove_entries","order_type","text","YES",""
"fidium_white_glove_entries","requested_services","text","YES",""
"fidium_white_glove_entries","status_change_date","date","YES",""
"fidium_white_glove_entries","sales_status","text","YES",""
"fidium_white_glove_entries","install_status","text","YES",""
"fidium_white_glove_entries","order_number","text","YES",""
"fidium_white_glove_entries","install_date","date","YES",""
"fidium_white_glove_entries","amount","numeric","YES",""
"fidium_white_glove_entries","frontend_paid","boolean","NO","false"
"fidium_white_glove_entries","backend_paid","boolean","NO","false"
"fidium_white_glove_entries","created_at","timestamp with time zone","NO","now()"
"manager_agent_commission_date_ranges","id","uuid","NO","gen_random_uuid()"
"manager_agent_commission_date_ranges","manager_agent_commission_id","uuid","NO",""
"manager_agent_commission_date_ranges","plan_id","uuid","NO",""
"manager_agent_commission_date_ranges","start_date","date","NO",""
"manager_agent_commission_date_ranges","end_date","date","YES",""
"manager_agent_commission_date_ranges","manager_commission_value","numeric","NO","0"
"manager_agent_commission_date_ranges","manager_upgrade_commission_value","numeric","NO","0"
"manager_agent_commission_date_ranges","created_at","timestamp with time zone","YES","now()"
"manager_agent_commissions","id","uuid","NO","gen_random_uuid()"
"manager_agent_commissions","manager_id","uuid","NO",""
"manager_agent_commissions","agent_id","uuid","NO",""
"manager_agent_commissions","plan_id","uuid","NO",""
"manager_agent_commissions","manager_commission_value","numeric","NO","0"
"manager_agent_commissions","manager_upgrade_commission_value","numeric","NO","0"
"manager_agent_commissions","created_at","timestamp with time zone","YES","now()"
"manager_payscale_date_range_plan_commissions","id","uuid","NO","gen_random_uuid()"
"manager_payscale_date_range_plan_commissions","manager_payscale_date_range_id","uuid","NO",""
"manager_payscale_date_range_plan_commissions","plan_id","uuid","NO",""
"manager_payscale_date_range_plan_commissions","manager_commission_type","text","NO","'fixed_amount'::text"
"manager_payscale_date_range_plan_commissions","manager_commission_value","numeric","NO","0"
"manager_payscale_date_range_plan_commissions","manager_upgrade_commission_type","text","NO","'fixed_amount'::text"
"manager_payscale_date_range_plan_commissions","manager_upgrade_commission_value","numeric","NO","0"
"manager_payscale_date_range_plan_commissions","created_at","timestamp with time zone","NO","now()"
"manager_payscale_date_ranges","id","uuid","NO","gen_random_uuid()"
"manager_payscale_date_ranges","manager_payscale_id","uuid","NO",""
"manager_payscale_date_ranges","start_date","date","NO",""
"manager_payscale_date_ranges","end_date","date","YES",""
"manager_payscale_date_ranges","created_at","timestamp with time zone","NO","now()"
"manager_payscale_plan_commissions","id","uuid","NO","gen_random_uuid()"
"manager_payscale_plan_commissions","manager_payscale_id","uuid","NO",""
"manager_payscale_plan_commissions","plan_id","uuid","NO",""
"manager_payscale_plan_commissions","manager_commission_type","text","NO",""
"manager_payscale_plan_commissions","manager_commission_value","numeric","NO",""
"manager_payscale_plan_commissions","created_at","timestamp with time zone","NO","now()"
"manager_payscale_plan_commissions","manager_upgrade_commission_type","text","NO","'fixed_amount'::text"
"manager_payscale_plan_commissions","manager_upgrade_commission_value","numeric","NO","0"
"manager_payscales","id","uuid","NO","gen_random_uuid()"
"manager_payscales","name","text","NO",""
"manager_payscales","created_at","timestamp with time zone","NO","now()"
"payroll_report_batches","id","uuid","NO","gen_random_uuid()"
"payroll_report_batches","batch_name","text","NO",""
"payroll_report_batches","created_at","timestamp with time zone","YES","now()"
"payroll_reports","id","uuid","NO","gen_random_uuid()"
"payroll_reports","created_at","timestamp with time zone","YES","now()"
"payroll_reports","agent_id","uuid","YES",""
"payroll_reports","name","text","YES",""
"payroll_reports","accounts","integer","YES",""
"payroll_reports","personal_total","numeric","YES",""
"payroll_reports","manager_total","numeric","YES",""
"payroll_reports","grand_total","numeric","YES",""
"payroll_reports","upfront_percentage","numeric","YES",""
"payroll_reports","backend_percentage","numeric","YES",""
"payroll_reports","upfront_value","numeric","YES",""
"payroll_reports","backend_value","numeric","YES",""
"payroll_reports","frontend_is_paid","boolean","YES","false"
"payroll_reports","batch_id","uuid","YES",""
"payroll_reports","backend_is_paid","boolean","YES","false"
"payroll_reports","details","jsonb","YES",""
"payroll_reports","report_type","text","YES",""
"personal_payscale_date_range_plan_commissions","id","uuid","NO","gen_random_uuid()"
"personal_payscale_date_range_plan_commissions","personal_payscale_date_range_id","uuid","NO",""
"personal_payscale_date_range_plan_commissions","plan_id","uuid","NO",""
"personal_payscale_date_range_plan_commissions","rep_commission_type","text","NO","'fixed_amount'::text"
"personal_payscale_date_range_plan_commissions","rep_commission_value","numeric","NO","0"
"personal_payscale_date_range_plan_commissions","rep_upgrade_commission_type","text","NO","'fixed_amount'::text"
"personal_payscale_date_range_plan_commissions","rep_upgrade_commission_value","numeric","NO","0"
"personal_payscale_date_range_plan_commissions","created_at","timestamp with time zone","NO","now()"
"personal_payscale_date_ranges","id","uuid","NO","gen_random_uuid()"
"personal_payscale_date_ranges","personal_payscale_id","uuid","NO",""
"personal_payscale_date_ranges","start_date","date","NO",""
"personal_payscale_date_ranges","end_date","date","YES",""
"personal_payscale_date_ranges","created_at","timestamp with time zone","NO","now()"
"personal_payscale_plan_commissions","id","uuid","NO","gen_random_uuid()"
"personal_payscale_plan_commissions","personal_payscale_id","uuid","NO",""
"personal_payscale_plan_commissions","plan_id","uuid","NO",""
"personal_payscale_plan_commissions","rep_commission_type","text","NO",""
"personal_payscale_plan_commissions","rep_commission_value","numeric","NO",""
"personal_payscale_plan_commissions","created_at","timestamp with time zone","NO","now()"
"personal_payscale_plan_commissions","rep_upgrade_commission_type","text","NO","'fixed_amount'::text"
"personal_payscale_plan_commissions","rep_upgrade_commission_value","numeric","NO","0"
"personal_payscales","id","uuid","NO","gen_random_uuid()"
"personal_payscales","name","text","NO",""
"personal_payscales","upfront_percentage","numeric","NO",""
"personal_payscales","backend_percentage","numeric","NO",""
"personal_payscales","created_at","timestamp with time zone","NO","now()"
"plans","id","uuid","NO","gen_random_uuid()"
"plans","name","text","NO",""
"plans","commission_amount","numeric","YES",""
"plans","created_at","timestamp with time zone","YES","now()"
"profiles","id","uuid","NO",""
"profiles","name","text","YES",""
"profiles","email","text","YES",""
"profiles","is_manager","boolean","YES","false"
"profiles","personal_payscale_id","uuid","YES",""
"profiles","manager_payscale_id","uuid","YES",""
"profiles","created_at","timestamp with time zone","YES","now()"
"user_managers","user_id","uuid","NO",""
"user_managers","manager_id","uuid","NO",""
"user_managers","created_at","timestamp with time zone","YES","now()"
"white_glove_entries","id","bigint","NO","nextval('white_glove_entries_id_seq'::regclass)"
"white_glove_entries","customer_name","text","YES",""
"white_glove_entries","customer_street_address","text","YES",""
"white_glove_entries","customer_city","text","YES",""
"white_glove_entries","customer_state","text","YES",""
"white_glove_entries","ban","text","YES",""
"white_glove_entries","order_number","text","YES",""
"white_glove_entries","order_status","text","YES",""
"white_glove_entries","order_submission_date","date","YES",""
"white_glove_entries","original_due_date","date","YES",""
"white_glove_entries","updated_due_date","date","YES",""
"white_glove_entries","order_completed_cancelled","text","YES",""
"white_glove_entries","customer_cbr","text","YES",""
"white_glove_entries","partner_name","text","YES",""
"white_glove_entries","partner_sales_code","text","YES",""
"white_glove_entries","audit_status","text","YES",""
"white_glove_entries","audit_closed","text","YES",""
"white_glove_entries","who_cancelled_the_order","text","YES",""
"white_glove_entries","did_you_intervene_on_the_order","text","YES",""
"white_glove_entries","notes","text","YES",""
"white_glove_entries","item_type","text","YES",""
"white_glove_entries","path","text","YES",""
"white_glove_entries","due_date_helper","text","YES",""
"white_glove_entries","migrating_from_legacy","text","YES",""
"white_glove_entries","legacy_or_brspd_fiber","text","YES",""
"white_glove_entries","cancellation_reason","text","YES",""
"white_glove_entries","voice_qty","integer","YES",""
"white_glove_entries","hsi_qty","integer","YES",""
"white_glove_entries","internet_speed","text","YES",""
"white_glove_entries","agent_seller_information","text","YES",""
"white_glove_entries","modified_due_date","date","YES",""
"white_glove_entries","modified_month","integer","YES",""
"white_glove_entries","month_issued","integer","YES",""
"white_glove_entries","year_issued","integer","YES",""
"white_glove_entries","month_completed","integer","YES",""
"white_glove_entries","year_completed","integer","YES",""
"white_glove_entries","month_due","integer","YES",""
"white_glove_entries","year_due","integer","YES",""
"white_glove_entries","created_at","timestamp with time zone","YES","now()"
"white_glove_entries","updated_at","timestamp with time zone","YES","now()"
"white_glove_entries","frontend_paid","boolean","YES","false"
"white_glove_entries","backend_paid","boolean","YES","false"
"white_glove_entries","install_date","date","YES",""
"white_glove_entries","batch_id","uuid","YES",""
"white_glove_entries","agent_id","uuid","YES",""

here is my nextjs15 project:

// app/protected/backend/page.jsx
"use client";

import React, { useEffect, useMemo, useState } from "react";
import { createClient } from "@/utils/supabase/client";
import { Button } from "@/components/button";
import {
  Table,
  TableBody,
  TableCell,
  TableHead,
  TableHeader,
  TableRow,
} from "@/components/table";
import { Checkbox } from "@/components/checkbox";
import {
  Dropdown,
  DropdownButton,
  DropdownItem,
  DropdownMenu,
  DropdownDivider,
} from "@/components/dropdown";
import {
  ChevronDownIcon,
  ChevronUpIcon,
  EllipsisVerticalIcon,
} from "@heroicons/react/20/solid";

function isOverdue(install_date) {
  if (!install_date) return false;
  const now = new Date();
  return (now - new Date(install_date)) / (1000 * 60 * 60 * 24) > 90;
}

function getOverdueDays(install_date) {
  const now = new Date();
  return Math.floor((now - new Date(install_date)) / (1000 * 60 * 60 * 24));
}

async function computeBatchOverdueCountsBackend(supabase, batches) {
  const newOverdueCounts = {};
  for (const batch of batches) {
    const { data: linesData } = await supabase
      .from("payroll_reports")
      .select("details,report_type,backend_is_paid")
      .eq("batch_id", batch.id);

    if (!linesData || linesData.length === 0) {
      newOverdueCounts[batch.id] = 0;
      continue;
    }

    const allWgeIds = [];
    const allFwgIds = [];
    linesData.forEach((line) => {
      if (Array.isArray(line.details)) {
        for (const d of line.details) {
          if (d.white_glove_entry_id) allWgeIds.push(d.white_glove_entry_id);
          if (d.fidium_white_glove_id) allFwgIds.push(d.fidium_white_glove_id);
        }
      }
    });

    let overdueCount = 0;
    if (allWgeIds.length > 0) {
      const { data: wgeData } = await supabase
        .from("white_glove_entries")
        .select("install_date,backend_paid")
        .in("id", allWgeIds);
      (wgeData || []).forEach((w) => {
        if (!w.backend_paid && isOverdue(w.install_date)) overdueCount++;
      });
    }
    if (allFwgIds.length > 0) {
      const { data: fwgData } = await supabase
        .from("fidium_white_glove_entries")
        .select("install_date,backend_paid")
        .in("id", allFwgIds);
      (fwgData || []).forEach((f) => {
        if (!f.backend_paid && isOverdue(f.install_date)) overdueCount++;
      });
    }

    newOverdueCounts[batch.id] = overdueCount;
  }
  return newOverdueCounts;
}

export default function BackendReportsPage() {
  const supabase = useMemo(() => createClient(), []);
  const [batches, setBatches] = useState([]);
  const [batchOverdueCounts, setBatchOverdueCounts] = useState({});
  const [batchPaidMap, setBatchPaidMap] = useState({});
  const [selectedBatchId, setSelectedBatchId] = useState(null);
  const [reportLines, setReportLines] = useState([]);
  const [expandedAgents, setExpandedAgents] = useState(new Set());
  const [wgeMap, setWgeMap] = useState({});
  const [fwgMap, setFwgMap] = useState({});
  const [loading, setLoading] = useState(false);

  useEffect(() => {
    fetchBatches();
  }, []);

  async function fetchBatches() {
    setLoading(true);
    const { data: batchData } = await supabase
      .from("payroll_report_batches")
      .select("*")
      .order("created_at", { ascending: false });
    if (!batchData) {
      setLoading(false);
      return;
    }
    const overdueCounts = await computeBatchOverdueCountsBackend(
      supabase,
      batchData
    );
    const newBatchPaidMap = {};
    for (const batch of batchData) {
      const { data: reportsData } = await supabase
        .from("payroll_reports")
        .select("backend_is_paid")
        .eq("batch_id", batch.id);
      if (reportsData && reportsData.length > 0) {
        const total = reportsData.length;
        const paidCount = reportsData.filter((r) => r.backend_is_paid).length;
        const pct = ((paidCount / total) * 100).toFixed(2);
        newBatchPaidMap[batch.id] = { paidPercentage: parseFloat(pct) };
      } else {
        newBatchPaidMap[batch.id] = { paidPercentage: 0 };
      }
    }
    setBatches(batchData);
    setBatchOverdueCounts(overdueCounts);
    setBatchPaidMap(newBatchPaidMap);
    setLoading(false);
  }

  async function loadBatchDetails(batch_id) {
    setLoading(true);
    const { data: linesData } = await supabase
      .from("payroll_reports")
      .select("*")
      .eq("batch_id", batch_id);
    if (!linesData) {
      setLoading(false);
      return;
    }
    linesData.sort((a, b) => (a.name || "").localeCompare(b.name || ""));

    const allWgeIds = [];
    const allFwgIds = [];
    for (const line of linesData) {
      if (Array.isArray(line.details)) {
        for (const d of line.details) {
          if (d.white_glove_entry_id) allWgeIds.push(d.white_glove_entry_id);
          if (d.fidium_white_glove_id) allFwgIds.push(d.fidium_white_glove_id);
        }
      }
    }

    let wgeById = {};
    if (allWgeIds.length > 0) {
      const { data: wgeData } = await supabase
        .from("white_glove_entries")
        .select("*")
        .in("id", allWgeIds);
      (wgeData || []).forEach((w) => {
        wgeById[w.id] = w;
      });
    }

    let fwgById = {};
    if (allFwgIds.length > 0) {
      const { data: fwgData } = await supabase
        .from("fidium_white_glove_entries")
        .select("*")
        .in("id", allFwgIds);
      (fwgData || []).forEach((f) => {
        fwgById[f.id] = f;
      });
    }

    // Auto-check if line is fully paid
    for (const line of linesData) {
      const lineAccs = Array.isArray(line.details) ? line.details : [];
      const allPaid =
        lineAccs.length > 0 &&
        lineAccs.every((acc) => {
          if (acc.white_glove_entry_id)
            return wgeById[acc.white_glove_entry_id]?.backend_paid;
          if (acc.fidium_white_glove_id)
            return fwgById[acc.fidium_white_glove_id]?.backend_paid;
          return true;
        });
      if (allPaid && !line.backend_is_paid) {
        line.backend_is_paid = true;
        supabase
          .from("payroll_reports")
          .update({ backend_is_paid: true })
          .eq("id", line.id);
      }
    }

    setReportLines(linesData);
    setWgeMap(wgeById);
    setFwgMap(fwgById);
    setLoading(false);
  }

  function enterBatch(batch_id) {
    setSelectedBatchId(batch_id);
    loadBatchDetails(batch_id);
  }

  async function goBack() {
    setSelectedBatchId(null);
    setReportLines([]);
    setWgeMap({});
    setFwgMap({});
    await fetchBatches();
  }

  function toggleAgentExpand(line) {
    setExpandedAgents((prev) => {
      const newSet = new Set(prev);
      newSet.has(line.id) ? newSet.delete(line.id) : newSet.add(line.id);
      return newSet;
    });
  }

  async function togglePaid(line) {
    const newPaidValue = !line.backend_is_paid;
    const { data: updatedLineData } = await supabase
      .from("payroll_reports")
      .update({ backend_is_paid: newPaidValue })
      .eq("id", line.id)
      .select("*");
    if (!updatedLineData) return;

    const updatedLine = updatedLineData[0];
    const lineAccs = Array.isArray(updatedLine.details)
      ? updatedLine.details
      : [];
    const wIds = lineAccs
      .filter((d) => d.white_glove_entry_id)
      .map((d) => d.white_glove_entry_id);
    const fIds = lineAccs
      .filter((d) => d.fidium_white_glove_id)
      .map((d) => d.fidium_white_glove_id);

    if (wIds.length > 0) {
      await supabase
        .from("white_glove_entries")
        .update({ backend_paid: newPaidValue })
        .in("id", wIds);
      const newMap = { ...wgeMap };
      wIds.forEach((id) => {
        if (newMap[id]) newMap[id].backend_paid = newPaidValue;
      });
      setWgeMap(newMap);
    }
    if (fIds.length > 0) {
      await supabase
        .from("fidium_white_glove_entries")
        .update({ backend_paid: newPaidValue })
        .in("id", fIds);
      const newMap = { ...fwgMap };
      fIds.forEach((id) => {
        if (newMap[id]) newMap[id].backend_paid = newPaidValue;
      });
      setFwgMap(newMap);
    }

    setReportLines((prev) =>
      prev.map((r) => (r.id === line.id ? updatedLine : r))
    );
    if (newPaidValue) {
      setExpandedAgents((prev) => new Set([...prev, updatedLine.id]));
    }
  }

  async function toggleAccountPaid(line, type, entryId) {
    const newPaidValue =
      type === "white"
        ? !wgeMap[entryId]?.backend_paid
        : !fwgMap[entryId]?.backend_paid;

    if (type === "white") {
      await supabase
        .from("white_glove_entries")
        .update({ backend_paid: newPaidValue })
        .eq("id", entryId);
      setWgeMap((prev) => ({
        ...prev,
        [entryId]: { ...prev[entryId], backend_paid: newPaidValue },
      }));
    } else {
      await supabase
        .from("fidium_white_glove_entries")
        .update({ backend_paid: newPaidValue })
        .eq("id", entryId);
      setFwgMap((prev) => ({
        ...prev,
        [entryId]: { ...prev[entryId], backend_paid: newPaidValue },
      }));
    }

    const lineAccs = Array.isArray(line.details) ? line.details : [];
    const allPaid = lineAccs.every((acc) => {
      if (acc.white_glove_entry_id) {
        return (
          wgeMap[acc.white_glove_entry_id]?.backend_paid === true ||
          (acc.white_glove_entry_id === entryId && newPaidValue)
        );
      }
      if (acc.fidium_white_glove_id) {
        return (
          fwgMap[acc.fidium_white_glove_id]?.backend_paid === true ||
          (acc.fidium_white_glove_id === entryId && newPaidValue)
        );
      }
      return true;
    });
    if (allPaid && !line.backend_is_paid) {
      await supabase
        .from("payroll_reports")
        .update({ backend_is_paid: true })
        .eq("id", line.id);
      setReportLines((prev) =>
        prev.map((r) => (r.id === line.id ? { ...r, backend_is_paid: true } : r))
      );
    } else if (!allPaid && line.backend_is_paid) {
      await supabase
        .from("payroll_reports")
        .update({ backend_is_paid: false })
        .eq("id", line.id);
      setReportLines((prev) =>
        prev.map((r) => (r.id === line.id ? { ...r, backend_is_paid: false } : r))
      );
    }
  }

  function getPaidPercentage() {
    if (reportLines.length === 0) return "0";
    const paidCount = reportLines.filter((r) => r.backend_is_paid).length;
    return ((paidCount / reportLines.length) * 100).toFixed(2);
  }

  function lineHasOverdue(line) {
    const accs = Array.isArray(line.details) ? line.details : [];
    return accs.some((d) => {
      if (d.white_glove_entry_id) {
        const w = wgeMap[d.white_glove_entry_id];
        return w && !w.backend_paid && isOverdue(w.install_date);
      }
      if (d.fidium_white_glove_id) {
        const f = fwgMap[d.fidium_white_glove_id];
        return f && !f.backend_paid && isOverdue(f.install_date);
      }
      return false;
    });
  }

  function getMaxOverdueDaysForLine(line) {
    let maxDays = 0;
    const accs = Array.isArray(line.details) ? line.details : [];
    for (const d of accs) {
      if (d.white_glove_entry_id) {
        const w = wgeMap[d.white_glove_entry_id];
        if (w && !w.backend_paid) {
          const days = getOverdueDays(w.install_date);
          if (days > maxDays) maxDays = days;
        }
      } else if (d.fidium_white_glove_id) {
        const f = fwgMap[d.fidium_white_glove_id];
        if (f && !f.backend_paid) {
          const days = getOverdueDays(f.install_date);
          if (days > maxDays) maxDays = days;
        }
      }
    }
    return maxDays;
  }

  async function renameBatch(batch) {
    const newName = window.prompt("New batch name?", batch.batch_name);
    if (newName && newName.trim()) {
      await supabase
        .from("payroll_report_batches")
        .update({ batch_name: newName.trim() })
        .eq("id", batch.id);
      fetchBatches();
    }
  }

  async function deleteBatch(batch) {
    if (confirm(`Delete batch ${batch.batch_name}?`)) {
      await supabase.from("payroll_reports").delete().eq("batch_id", batch.id);
      await supabase.from("payroll_report_batches").delete().eq("id", batch.id);
      fetchBatches();
    }
  }

  if (!selectedBatchId) {
    return (
      <div className="p-6 space-y-6 font-sans text-gray-900">
        <h2 className="text-2xl font-bold text-center">
          Saved Payroll Batches (Backend)
        </h2>
        {loading && <div>Loading...</div>}
        <div className="grid grid-cols-1 sm:grid-cols-2 md:grid-cols-3 gap-4">
          {batches.map((b) => {
            const overdueCount = batchOverdueCounts[b.id] || 0;
            const paidInfo = batchPaidMap[b.id] || { paidPercentage: 0 };
            const pct = paidInfo.paidPercentage;
            return (
              <div
                key={b.id}
                className="border rounded flex flex-col items-center cursor-pointer relative"
                onClick={() => enterBatch(b.id)}
                style={{
                  background: `linear-gradient(to right, #22c55e ${pct}%, #e5e7eb ${pct}%)`,
                }}
              >
                <div className="absolute top-2 left-2 bg-white bg-opacity-90 text-gray-800 text-sm font-bold px-2 py-1 rounded">
                  {pct}% Paid Out
                </div>
                {overdueCount > 0 && (
                  <span className="absolute top-2 right-12 bg-red-500 text-white text-xs font-bold px-2 py-1 rounded-full">
                    {overdueCount}
                  </span>
                )}
                <div
                  className="absolute top-2 right-2 z-10"
                  onClick={(e) => e.stopPropagation()}
                >
                  <Dropdown>
                    <DropdownButton
                      as="div"
                      className="cursor-pointer flex items-center"
                    >
                      <EllipsisVerticalIcon className="h-5 w-5 text-gray-500" />
                    </DropdownButton>
                    <DropdownMenu className="min-w-32" anchor="bottom end">
                      <DropdownItem onClick={() => renameBatch(b)}>
                        Rename
                      </DropdownItem>
                      <DropdownDivider />
                      <DropdownItem onClick={() => deleteBatch(b)}>
                        Delete
                      </DropdownItem>
                    </DropdownMenu>
                  </Dropdown>
                </div>
                <div
                  className="w-full py-6 flex flex-col items-center"
                  style={{ pointerEvents: "none" }}
                >
                  <span className="text-lg font-semibold">
                    {b.batch_name}
                  </span>
                  <div className="text-sm text-gray-700">
                    Created: {new Date(b.created_at).toLocaleString()}
                  </div>
                </div>
              </div>
            );
          })}
        </div>
      </div>
    );
  }

  const paidPct = parseFloat(getPaidPercentage());

  return (
    <div className="p-6 space-y-6">
      <Button onClick={goBack}>Back to Batches</Button>
      <h3 className="text-lg font-bold mt-4">Batch Details (Backend)</h3>
      <div className="flex items-center space-x-4 mb-4">
        <div>Total lines: {reportLines.length}</div>
        <div>{getPaidPercentage()}% paid out</div>
      </div>
      <div className="w-full bg-gray-200 h-2 rounded">
        <div
          className="bg-green-500 h-2 rounded"
          style={{ width: `${paidPct}%` }}
        />
      </div>
      {loading && <div>Loading...</div>}
      <Table striped>
        <TableHead>
          <TableRow>
            <TableHeader />
            <TableHeader>Paid?</TableHeader>
            <TableHeader>Name</TableHeader>
            <TableHeader># Accounts</TableHeader>
            <TableHeader>Personal Total</TableHeader>
            <TableHeader>Backend</TableHeader>
            <TableHeader>Status</TableHeader>
          </TableRow>
        </TableHead>
        <TableBody>
          {reportLines.map((line) => {
            const isExpanded = expandedAgents.has(line.id);
            const personalTotalDisplay =
              typeof line.personal_total === "number"
